"height.cm","weight.kg"
165,72
172,80
167,50
140,43
155,49
164,50
160,67
167,62
168,46
159,44
160,45
156,67
156,55
160,67
172,50
166,69
156,76
169,57
160,55
160,54
158,52
157,68
153,65
167,50
150,52
161,53
168,70
151,58
156,56
164,80
167,48
160,49
148,52
150,51
156,75
165,58
168,68
158,60
165,51
165,63
164,63
158,47
164,86
170,62
165,55
158,47
164,51
153,53
142,45
165,68
164,63
174,59
159,60
155,54
155,52
162,58
168,78
165,112
170,98
162,77
156,53
167,65
170,57
164,90
168,55
146,45
164,60
165,55
165,70
170,57
160,65
150,72
158,82
171,49
170,48
164,63
166,65
160,64
164,73
160,76
152,68
165,50
169,82
165,47
158,56
169,54
156,48
150,60
172,65
165,48
152,69
161,63
153,70
153,50
172,90
164,54
167,63
165,87
163,58
181,61
162,90
165,57
157,80
165,58
158,50
165,65
162,83
170,67
161,87
163,48
157,52
165,48
164,43
164,73
160,80
171,51
164,43
163,48
165,48
163,48
