date,ride_title,distance,ride_id
2017-01-07,Айдас даваа Чингис хүрээ,27,27
2017-01-14,Сэлэнгэ Сүхбаатар,44,28
2017-01-21,Чингэлтэй уул,24,29
2017-01-28,Туул Гацуурт Маршал гүүр,42,30
2017-02-04,Бурхант хошуу,43,31
2017-02-08,Гацуурт Шилжир ам,0,32
2017-02-11,Гацуурт Шилжрэн даваа,40,33
2017-02-16,Дэнди ам Налайх,44,34
2017-02-18,Туул гол Дэндийн ам,45,35
2017-02-25,Өлзийт Сонгино Морин даваа,34,36
2017-03-04,Харгана,38,37
2017-03-10,Шарга морьт     Зүүн  даваа,0,38
2017-03-11,Бэлхи         Шар хад,45,39
2017-03-18,Сонгино уул,53,40
2017-03-24,Хөлийн гол Чулуутын ам,36,41
2017-03-25,Хөлийн гол Бумбат,43,42
2017-04-01,Гүнт Хүй 7 худаг Эмээлт,108,43
2017-04-08,Тэрэлж,89,44
2017-04-15,Богд уул тойрох,110,45
2017-04-22,Хандгайт Баруун гол,74,46
2017-04-29,Гүнжийн сүм,154,47
2017-05-06,Шар хөв Тахилт Гүнт Шарга морьт Сэлхи,121,48
2017-05-13,NA,65,49
2017-05-20,Налайх Баян уул Хонхор,99,50
2017-05-27,Майхан толгой,50,51
2017-06-03,УБ 240 24 цаг,240,52
2017-06-10,Төрхурах,60,53
2017-06-17,Алтанбулаг Өндөр дов,136,54
2017-06-24,Харгана Тахилтын даваа,113,55
2017-07-01,Даваат Бэрх даваа,98,56
2017-07-08,500 км хүртэл зай туулсан аялагч нарын урамшуулал,203,245
2017-07-10,Төв Архангай Хөвсгөл аймаг,975,246
2017-07-27,Баян Өлгий Ховд аймаг,721,57
2017-08-02,Төв Архангай,740,246
2017-08-25,Нарийний хөндий Гурав даваа Гүнт,0,58
2017-08-26,Хайлааст уул Гуравын даваа Гүнт,114,59
2017-09-02,Гацуурт Тэрэлж Цонжин Болдог Налайх,155,60
2017-09-09,Майхан толгой Хүй долоо худаг Эмээлт,111,61
2017-09-16,Унадаг дугуйн наадам 88,88,62
2017-09-19,Итэмийн даваа Нэмэхийн даваа- Нэмэхийн гол,0,63
2017-09-23,Улиастай Баянтөхөм,62,64
2017-09-30,Батсүмбэр,47,65
2017-10-07,Хайртхаан,152,66
2017-10-14,Дугуйн замаар,96,67
2017-10-24,Төв Дундговь Өмнөговь аймаг,577,68
2017-11-04,Их тойрог,121,248
2017-12-21,Сэлэнгэ Сүхбаатар,44,70
